Generator Name,Power Project Type,Capacity (MW),DC Capacity (MW),Owner,Power Project Status,Contract Price ($/MWh),Contract Type,Contract Price Type,Contract Offtaker Type,Hybrid Status,State,ISO,Latitude (Degrees),Longitude (Degrees),First Power Date,Year,hail_lat,hail_lon,hail_dist
SR Maryville East: MARYE,Solar,7.5,9.8,Silicon Ranch,Operating,51.04,,Assumed,,N,TN,Non-ISO,35.77527,-83.91361,06/01/2025,2025,36.2,-84.1,0.46382842194069895
Above Grid Montour Solar: 20435,Solar,5.0,6.5,Above Grid Montour Solar LLC,In Construction,123.19,,Assumed,,N,NY,NYISO,42.330348,-76.83241,04/01/2026,2026,42.5,-76.9,0.1826203964621725
Desert Breeze Solar: LOC3,Solar,125.0,162.5,Terra-Gen,In Construction,58.06,,Assumed,,N,CA,CAISO,35.037778,-117.3472,07/01/2026,2026,35.3,-117.4,0.2674849851561718
Bensenville Ind Park 11: CH411,Solar,1.2,1.6,Prologis,In Construction,84.09,,Assumed,,N,IL,PJM,41.986194,-87.94525,03/01/2026,2026,41.6,-87.7,0.45748592124348086
Franklin Park 2-SLCHI802: CH802,Solar,1.2,1.6,Prologis,In Construction,84.13,,Assumed,,N,IL,PJM,41.946509,-87.85944,12/01/2025,2025,41.6,-87.7,0.38143099071915937
SR Dumas: DUMAS,Solar,4.8,6.2,Silicon Ranch,In Construction,45.21,,Assumed,,N,AR,MISO,33.891711,-91.47006,12/01/2025,2025,33.5,-91.3,0.42703385242976094
Northlake 2-SLCHI302: CH302,Solar,1.6,2.1,Prologis,In Construction,84.2,,Assumed,,N,IL,PJM,41.9118,-87.9081,12/01/2025,2025,41.6,-87.7,0.37486644288332815
Allied Potato: 19073,Solar,1.2,1.6,"Renewable Solar, Inc",Operating,65.49,,Assumed,,N,CA,CAISO,35.259196,-118.8819,05/01/2025,2025,35.3,-119.2,0.3207063710249615
SR South Gibson: GIBSN,Solar,4.8,6.2,Silicon Ranch,In Construction,51.33,,Assumed,,N,TN,Non-ISO,35.826426,-88.81739,12/01/2025,2025,36.2,-88.6,0.43222210213732426
SR Forked Deer: FDEER,Solar,2.5,3.3,Silicon Ranch,In Construction,51.33,,Assumed,,N,TN,Non-ISO,35.708522,-89.50989,12/01/2025,2025,35.3,-89.5,0.40864169706969944
SR Brownsville: BROWN,Solar,3.0,3.9,Silicon Ranch,Operating,51.04,,Assumed,,N,TN,Non-ISO,35.59013,-89.23283,06/01/2025,2025,35.3,-89.5,0.3944049008316189
Elk Grove 51-SLCHI151: CH151,Solar,1.4,1.8,Prologis,In Construction,84.09,,Assumed,,N,IL,PJM,42.00096,-87.95782,03/01/2026,2026,41.6,-87.7,0.4766970463512395
Bensenville Ind Park 2-SLCHI402: CH402,Solar,1.1,1.4,Prologis,In Construction,83.96,,Assumed,,N,IL,PJM,41.983957,-87.95383,05/01/2026,2026,41.6,-87.7,0.4602745341087133
