lat,lon,pml_52,pml_60,pml_70,pml_77,ins_52,ins_60,ins_70,ins_77,risk_52,risk_60,risk_70,risk_77,gc_check
29.9,-87.7,0.03,0.01,0.0,0.0,0.270062,0.115855,0.0,0.0,0.562496,0.306816,0.102272,0.051136,1.3311
30.8,-87.7,0.04,0.02,0.0,0.0,0.331585,0.146217,0.0,0.0,0.971584,0.51136,0.153408,0.051136,1.67994
31.7,-85.9,0.08,0.04,0.01,0.0,0.608838,0.318801,0.047141,0.0,2.096576,1.176128,0.409088,0.153408,3.66282
31.7,-86.8,0.08,0.04,0.01,0.0,0.612833,0.321198,0.04794,0.0,2.096576,1.176128,0.409088,0.153408,3.69036
31.7,-87.7,0.06,0.03,0.0,0.0,0.507365,0.244494,0.014382,0.0,1.994304,1.073856,0.306816,0.102272,2.80908
32.6,-85.0,0.08,0.04,0.01,0.0,0.629612,0.333982,0.053533,0.0,2.198848,1.176128,0.409088,0.153408,3.83724
32.6,-85.9,0.08,0.05,0.01,0.0,0.676753,0.368339,0.068714,0.0,2.710208,1.482944,0.51136,0.204544,4.23198
32.6,-86.8,0.08,0.04,0.01,0.0,0.628014,0.332384,0.052734,0.0,2.761344,1.53408,0.51136,0.204544,3.81888
32.6,-87.7,0.07,0.04,0.0,0.0,0.582471,0.299625,0.038352,0.0,2.659072,1.431808,0.460224,0.204544,3.4425
33.5,-85.9,0.08,0.04,0.01,0.0,0.646391,0.346766,0.059126,0.0,2.607936,1.431808,0.51136,0.204544,3.98412
33.5,-86.8,0.08,0.04,0.01,0.0,0.624818,0.330786,0.051935,0.0,2.761344,1.482944,0.51136,0.204544,3.80052
33.5,-87.7,0.07,0.04,0.01,0.0,0.59126,0.306017,0.041548,0.0,2.659072,1.380672,0.409088,0.153408,3.51594
34.4,-85.9,0.07,0.03,0.0,0.0,0.55131,0.276454,0.028764,0.0,2.198848,1.073856,0.357952,0.153408,3.17628
34.4,-86.8,0.09,0.05,0.01,0.0,0.731085,0.406691,0.086292,0.000799,2.914752,1.53408,0.51136,0.204544,4.67262
34.4,-87.7,0.08,0.05,0.01,0.0,0.667165,0.361148,0.066317,0.0,2.863616,1.431808,0.460224,0.204544,4.14936
33.5,-91.3,0.07,0.04,0.0,0.0,0.576079,0.294831,0.035955,0.0,2.710208,1.380672,0.409088,0.153408,3.38742
33.5,-92.2,0.08,0.04,0.01,0.0,0.600049,0.312409,0.043945,0.0,2.863616,1.431808,0.460224,0.204544,3.58938
33.5,-93.1,0.07,0.04,0.0,0.0,0.57528,0.294032,0.035955,0.0,3.06816,1.53408,0.460224,0.204544,3.37824
33.5,-94.0,0.08,0.04,0.01,0.0,0.628813,0.333183,0.053533,0.0,3.374976,1.78976,0.562496,0.204544,3.82806
34.4,-91.3,0.08,0.04,0.01,0.0,0.630411,0.333982,0.053533,0.0,2.5568,1.329536,0.460224,0.204544,3.83724
34.4,-92.2,0.08,0.04,0.01,0.0,0.65518,0.352359,0.061523,0.0,2.965888,1.585216,0.51136,0.25568,4.04838
34.4,-93.1,0.08,0.05,0.01,0.0,0.67116,0.364344,0.067116,0.0,3.374976,1.78976,0.562496,0.25568,4.18608
34.4,-94.0,0.09,0.05,0.01,0.0,0.691135,0.378726,0.073508,0.0,3.477248,1.78976,0.562496,0.204544,4.35132
35.3,-90.4,0.06,0.03,0.0,0.0,0.465018,0.213333,0.0,0.0,1.943168,0.920448,0.25568,0.102272,2.45106
35.3,-91.3,0.07,0.03,0.0,0.0,0.548114,0.274856,0.027166,0.0,2.147712,1.124992,0.357952,0.153408,3.15792
35.3,-92.2,0.07,0.04,0.0,0.0,0.569687,0.290037,0.034357,0.0,2.863616,1.431808,0.460224,0.204544,3.33234
35.3,-93.1,0.08,0.04,0.01,0.0,0.64719,0.346766,0.059925,0.0,3.426112,1.78976,0.562496,0.204544,3.98412
35.3,-94.0,0.09,0.05,0.01,0.0,0.696728,0.382721,0.075106,0.0,3.57952,1.840896,0.562496,0.25568,4.39722
36.2,-90.4,0.06,0.03,0.0,0.0,0.500174,0.2397,0.011985,0.0,2.352256,1.176128,0.306816,0.153408,2.754
36.2,-91.3,0.07,0.04,0.0,0.0,0.584868,0.301223,0.039151,0.0,2.863616,1.431808,0.409088,0.204544,3.46086
36.2,-92.2,0.08,0.04,0.01,0.0,0.614431,0.322796,0.048739,0.0,3.017024,1.585216,0.51136,0.204544,3.70872
36.2,-93.1,0.08,0.04,0.01,0.0,0.612833,0.321997,0.048739,0.0,3.374976,1.78976,0.51136,0.204544,3.69954
36.2,-94.0,0.09,0.05,0.01,0.0,0.716703,0.397103,0.082297,0.0,3.886336,2.04544,0.664768,0.25568,4.56246
31.7,-109.3,0.04,0.02,0.0,0.0,0.284444,0.122247,0.0,0.0,0.562496,0.306816,0.102272,0.051136,1.40454
31.7,-110.2,0.06,0.03,0.0,0.0,0.513757,0.249288,0.01598,0.0,1.482944,0.869312,0.306816,0.153408,2.86416
31.7,-111.1,0.08,0.04,0.01,0.0,0.652783,0.350761,0.061523,0.0,1.943168,1.176128,0.460224,0.204544,4.03002
31.7,-112.0,0.07,0.04,0.01,0.0,0.590461,0.305218,0.040749,0.0,1.2784,0.76704,0.306816,0.102272,3.50676
32.6,-109.3,0.06,0.03,0.0,0.0,0.470611,0.218127,0.002397,0.0,1.02272,0.613632,0.25568,0.102272,2.50614
32.6,-110.2,0.09,0.05,0.01,0.0,0.72709,0.405093,0.085493,0.0,2.659072,1.738624,0.715904,0.357952,4.65426
32.6,-111.1,0.09,0.05,0.01,0.0,0.731884,0.406691,0.086292,0.000799,2.5568,1.687488,0.715904,0.306816,4.67262
32.6,-112.0,0.09,0.05,0.01,0.0,0.72709,0.404294,0.085493,0.0,1.431808,0.920448,0.357952,0.153408,4.64508
32.6,-112.9,0.06,0.03,0.0,0.0,0.469812,0.217328,0.002397,0.0,0.562496,0.357952,0.153408,0.051136,2.49696
32.6,-113.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.051136,0.051136,0.0,0.0
32.6,-114.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.051136,0.051136,0.0,0.0
33.5,-109.3,0.06,0.03,0.0,0.0,0.477003,0.222122,0.003995,0.0,0.818176,0.51136,0.204544,0.102272,2.55204
33.5,-110.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.017024,2.096576,0.920448,0.460224,0.0
33.5,-111.1,0.09,0.05,0.01,0.0,0.728688,0.405093,0.085493,0.0,3.06816,2.096576,0.920448,0.460224,4.65426
33.5,-112.0,0.08,0.04,0.01,0.0,0.628813,0.333183,0.053533,0.0,1.2784,0.818176,0.357952,0.153408,3.82806
33.5,-112.9,0.06,0.03,0.0,0.0,0.446641,0.203745,0.0,0.0,0.51136,0.306816,0.153408,0.051136,2.3409
33.5,-113.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.051136,0.0,0.0,0.0
34.4,-109.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568,0.153408,0.051136,0.051136,0.0
34.4,-110.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.585216,1.073856,0.460224,0.204544,0.0
34.4,-111.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249984,1.585216,0.664768,0.357952,0.0
34.4,-112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.380672,0.920448,0.409088,0.204544,0.0
34.4,-112.9,0.06,0.03,0.0,0.0,0.484993,0.228514,0.007191,0.0,0.613632,0.357952,0.153408,0.051136,2.62548
34.4,-113.8,0.01,0.0,0.0,0.0,0.060724,0.025568,0.0,0.0,0.25568,0.153408,0.051136,0.0,0.29376
34.4,-114.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153408,0.102272,0.051136,0.0,0.0
35.3,-109.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.0,0.0,0.0
35.3,-110.2,0.01,0.0,0.0,0.0,0.090287,0.037553,0.0,0.0,0.25568,0.153408,0.051136,0.0,0.43146
35.3,-111.1,0.04,0.02,0.0,0.0,0.341972,0.15181,0.0,0.0,0.460224,0.25568,0.102272,0.051136,1.7442
35.3,-112.0,0.04,0.02,0.0,0.0,0.337178,0.149413,0.0,0.0,0.460224,0.306816,0.102272,0.051136,1.71666
35.3,-112.9,0.03,0.02,0.0,0.0,0.278851,0.11985,0.0,0.0,0.409088,0.25568,0.102272,0.051136,1.377
35.3,-113.8,0.03,0.01,0.0,0.0,0.242896,0.101473,0.0,0.0,0.409088,0.204544,0.102272,0.051136,1.16586
36.2,-111.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.0,0.0,0.0,0.0
36.2,-112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.051136,0.0,0.0,0.0
36.2,-112.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204544,0.102272,0.051136,0.0,0.0
36.2,-113.8,0.0,0.0,0.0,0.0,0.01598,0.006392,0.0,0.0,0.25568,0.153408,0.051136,0.0,0.07344
37.1,-111.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.051136,0.0,0.0,0.0
32.6,-116.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.0,0.0,0.0
32.6,-117.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.6,-118.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,-114.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.0,0.0,0.0
33.5,-115.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.0,0.0,0.0
33.5,-116.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.0,0.0,0.0,0.0
33.5,-117.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,-118.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,-119.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,-120.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4,-115.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153408,0.051136,0.0,0.0,0.0
34.4,-116.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.051136,0.0,0.0,0.0
34.4,-117.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.0,0.0,0.0,0.0
34.4,-118.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.0,0.0,0.0,0.0
34.4,-119.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.0,0.0,0.0,0.0
