lat,lon,pml_52,pml_60,pml_70,pml_77,ins_52,ins_60,ins_70,ins_77,risk_52,risk_60,risk_70,risk_77,gc_check
34.4,-114.7,0.08,0.06,0.02,0.01,0.600049,0.43945,0.126242,0.043945,0.613632,0.460224,0.25568,0.153408,5.049
35.3,-109.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.102272,0.051136,0.051136,0.0
35.3,-110.2,0.11,0.08,0.03,0.01,0.905267,0.67116,0.238102,0.10387,0.460224,0.357952,0.204544,0.153408,7.7112
35.3,-111.1,0.19,0.14,0.06,0.03,1.502919,1.104218,0.458626,0.234906,0.920448,0.715904,0.460224,0.306816,12.68676
35.3,-112.0,0.19,0.14,0.06,0.03,1.493331,1.097826,0.45543,0.232509,1.02272,0.818176,0.51136,0.357952,12.61332
35.3,-112.9,0.17,0.13,0.05,0.03,1.371883,1.009936,0.412284,0.19975,1.073856,0.869312,0.51136,0.306816,11.60352
35.3,-113.8,0.16,0.12,0.05,0.02,1.296777,0.954805,0.385118,0.178976,1.227264,0.920448,0.51136,0.357952,10.9701
36.2,-111.1,0.03,0.02,0.0,0.0,0.214931,0.147815,0.00799,0.0,0.25568,0.153408,0.102272,0.051136,1.6983
36.2,-112.0,0.05,0.04,0.01,0.0,0.42347,0.285243,0.067915,0.002397,0.51136,0.357952,0.204544,0.102272,3.27726
36.2,-112.9,0.08,0.06,0.02,0.01,0.639999,0.474606,0.139825,0.052734,0.869312,0.613632,0.357952,0.204544,5.45292
36.2,-113.8,0.09,0.07,0.02,0.01,0.71111,0.530536,0.165393,0.067915,0.971584,0.715904,0.409088,0.25568,6.09552
37.1,-111.1,0.06,0.04,0.01,0.0,0.448239,0.307615,0.076704,0.00799,0.613632,0.460224,0.204544,0.153408,3.5343
32.6,-116.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153408,0.102272,0.051136,0.051136,0.0
32.6,-117.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
